tweets	date
Joe Biden-Linked Firm Made Major Investments in Chinese Corporations https://t.co/oeDz9G2BB4 via @BreitbartNews	2020-10-17 22:58:22
It was GREAT to be back in MICHIGAN with thousands of loyal, hardworking American Patriots — 17 days from now, we are going to win the state of MICHIGAN, and we are going to win 4 more years in the White House! #MAGA https://t.co/NNSY71n5RA	2020-10-17 22:54:57
Getting ready to land in Muskegon, Michigan. Another giant crowd. See you soon! #MAGA	2020-10-17 20:56:08
RT @chefjclark: 🚨 🚨 HUGE WIN for voting rights in MICHIGAN for President @realDonaldTrump, the GOP &amp; all Americans.  Ballot harvesting is I…	2020-10-17 20:55:22
GEORGIA! Early voting is underway. Get out and VOTE to MAKE AMERICA GREAT AGAIN! https://t.co/IMvVBDWZ4o	2020-10-17 20:48:46
Early voting in Nevada is underway! Go to https://t.co/gsFSgh2KPc to get everything you need to cast your VOTE and MAKE AMERICA GREAT AGAIN! https://t.co/eYjTFAxaIO	2020-10-17 20:12:49
RT @FoxNews: One person on an email thread allegedly involving Hunter Biden corroborates the veracity of the messages, which appear to outl…	2020-10-17 19:40:01
Sean is a great warrior. His opponent is a Pelosi puppet. Vote for Sean Parnell ASAP. Thanks! https://t.co/VT3IWZ4nbF	2020-10-17 19:39:01
RT @DonaldJTrumpJr: The same media that set their hair on fire every time a bogus Russia story came out is now ignoring evidence that the B…	2020-10-17 19:33:45
RT @ArthurSchwartz: Joe is losing his cool. Sounds like the NY Post is right over the target.	2020-10-17 19:33:30
100% True! https://t.co/QWvpzSopkl	2020-10-17 19:18:35
Great! https://t.co/uROw5ntYPe	2020-10-17 19:17:11
Biden is a National Security threat! https://t.co/vQIY8y5zbf	2020-10-17 19:15:44
RT @PamBondi: Firefighters and Law Enforcement for Trump! 🇺🇸💙🇺🇸💙⁦@TeamTrump⁩ ⁦@realDonaldTrump⁩ ⁦@WomenforTrump⁩ ⁦@DanScavino⁩ https://t.co…	2020-10-17 19:13:02
She’s always been terrible &amp; unfair, just like most of the Fake News reporters, but I’ll still play the game. The people know! How’s Steve Scully doing? https://t.co/uS3EWzfFPy	2020-10-17 19:12:51
RT @ChuckRossDC: NEW: Ron Johnson letter to Chris Wray about the Biden laptop https://t.co/OH9Imo8imO	2020-10-17 19:08:02
RT @EricTrump: The salary of a U.S. Senator is $174,000 per year. This is Joe Biden’s house.... seems legit 🙄 https://t.co/DtD0DzXlrY	2020-10-17 19:07:51
RT @TheRightMelissa: White Liberals on twitter:  #RacistTrump  #BlacksForTrump: nope https://t.co/UgZcvd9rvP	2020-10-17 16:28:45
SLEEPY JOE BIDEN IS PROPOSING THE BIGGEST TAX HIKE IN OUR COUNTRY’S HISTORY! CAN ANYBODY REALLY VOTE FOR THIS?	2020-10-17 16:19:20
RT @TheRightMelissa: @realDonaldTrump Please also make sure you have all the information you need to vote. Share this with friends, family…	2020-10-17 16:17:59
RT @TheRightMelissa: @realDonaldTrump We are in the home stretch. Biden is getting Billions$ from Soros &amp; others. President Trump relies on…	2020-10-17 16:17:41
GIANT RED WAVE COMING!	2020-10-17 16:01:47
Senator Little Ben Sasse of the Great State of Nebraska seems to be heading down the same inglorious path as former Senators Liddle’ Bob Corker, whose approval rating in Tennessee went from 55% to 4%, &amp; Jeff “the Flake” Flake, whose approval rating in Arizona went from 56% to....	2020-10-17 16:00:32
The least effective of our 53 Republican Senators, and a person who truly doesn’t have what it takes to be great, is Little Ben Sasse of Nebraska, a State which I have gladly done so much to help. @SenSasse was as nice as a RINO can be until he recently won the Republican....	2020-10-17 13:39:18
Trump in Georgia: ‘Nobody Has Done More for the Black Community‘ https://t.co/CPH68LRFcg via @BreitbartNews	2020-10-17 13:30:39
RT @RepMattGaetz: Democrats and the media told us over and over again the Bidens were being falsely accused of improper behavior with Buris…	2020-10-17 04:19:44
https://t.co/DZpnte42vi	2020-10-17 02:06:10
https://t.co/2mkecBJH46	2020-10-17 02:05:54
https://t.co/t7MUFQi3G2	2020-10-17 02:05:27
RT @DanScavino: 🚨HAPPENING NOW‼️ 10/16/20–Macon, GA! MAGA🇺🇸🦅 🌐https://t.co/zqgeZML9Hf https://t.co/pY20ZQ6sUz	2020-10-17 02:04:01
THANK YOU MACON, GEORGIA! https://t.co/jjnVrVgQWY	2020-10-17 01:19:11
Getting ready to land in Macon, Georgia. Another giant crowd. See you soon!	2020-10-16 22:53:54
https://t.co/SpBa6xZorz	2020-10-16 22:27:54
https://t.co/74sqFSP4o3	2020-10-16 22:27:43
RT @TeamTrump: President @realDonaldTrump: Early voting in #Florida starts on MONDAY, and we are going to have a Red Wave!  VISIT: https://…	2020-10-16 22:27:38
THANK YOU OCALA, FLORIDA! https://t.co/w6KmVYR6kA	2020-10-16 22:06:04
Getting ready to speak in Florida. Enjoy!	2020-10-16 20:23:50
RT @GOP: The numbers speak for themselves! Pres. Trump has provided health care SAVINGS to our seniors.  AZ—premiums ⬇️22% after ⬆️64% w/ O…	2020-10-16 18:56:46
RT @GOP: “We love our senior citizens…You devoted your life to this country and I am devoting my life to you.”—@realDonaldTrump https://t.c…	2020-10-16 18:56:17
RT @TeamTrump: President @realDonaldTrump to seniors in #Florida: As long as I am President, NO ONE will lay a hand on your Medicare or Soc…	2020-10-16 18:49:04
RT @WhiteHouse: American seniors will be first in line when a safe and effective Coronavirus vaccine is approved! https://t.co/TN5jehx8Ay	2020-10-16 18:48:44
RT @WhiteHouse: JUST ANNOUNCED: We have finalized a partnership with @CVSHealth and @Walgreens to deliver the Coronavirus vaccine, when app…	2020-10-16 18:48:38
"RT @WhiteHouse: ""My heart breaks for every grieving family that has lost a precious loved one,"" President @realDonaldTrump said.  ""Together…"	2020-10-16 18:48:33
RT @WhiteHouse: President @realDonaldTrump is working hard every day to give America's 54 million seniors the care, support, and respect th…	2020-10-16 18:48:28
"RT @WhiteHouse: President @realDonaldTrump is in Fort Myers, Florida, with American seniors!   ""I will protect you, I will defend you, and…"	2020-10-16 18:48:23
Biden made another big mistake. He totally mixed up two Crime Bills. Didn’t have a clue (as usual!). Also, he freely used the term SUPER PREDATOR!!!	2020-10-16 16:30:01
https://t.co/10v8v4mVgO	2020-10-16 16:13:57
RT @WhiteHouse: Today, President @realDonaldTrump is in Florida to talk with seniors about his plan to keep healthcare affordable, protect…	2020-10-16 16:03:49
RT @WhiteHouse: The Trump Administration stands with Florida small businesses, who have received $32.2 BILLION in @SBAgov loans to keep the…	2020-10-16 16:03:42
There is a nasty rumor out there that @SenatorCollins of Maine will not be supporting our great United States Supreme Court Nominee. Well, she didn’t support Healthcare or my opening up 5000 square miles of Ocean to Maine, so why should this be any different. Not worth the work!	2020-10-16 12:36:29
Big T was not a reference to me, but rather to Big Tech, which should have been properly pointed out in Twitter’s Fake Trending Section!	2020-10-16 12:22:12
Steve Scully of @cspan had a very bad week. When his name was announced, I said he would not be appropriate because of conflicts. I was right! Then he said he was hacked, he wasn’t. I was right again! But his biggest mistake was “confiding” in a lowlife loser like the Mooch. Sad!	2020-10-16 12:15:38
Very good reviews on last night’s @NBCNews Town Hall in Miami. Thank you!!!	2020-10-16 11:29:10
Polls numbers are looking very strong. Big crowds, great enthusiasm. Massive RED WAVE coming!!!	2020-10-16 11:24:43
RT @Brexit: BREAKING: Boris Johnson says the U.K. will now get ready to split from the EU’s single market and customs union without a new t…	2020-10-16 11:20:20
RT @RandPaul: Biden/Harris will raise your taxes. Fact Check: True.    VP Biden said so last week when he said he would repeal the Trump ta…	2020-10-16 11:17:59
Biden lied Pennsylvania! https://t.co/zmD8Ew0bmS	2020-10-16 11:17:47
RT @RandPaul: Somebody is mad that @realDonaldTrump didn’t start any wars and wants to leave the ones we are in. Vote Biden/Harris if you w…	2020-10-16 11:15:55
RT @RandPaul: Open the schools! I wonder where the “listen to the science” people will go when the science doesn’t support their fearmonger…	2020-10-16 11:14:56
RT @RandPaul: Great meeting young cancer survivor Reed Elliotte yesterday at the #ProAmericaRally in Lexington KY. https://t.co/8PbQihCzP9	2020-10-16 11:14:42
RT @sedawymoha: @RandPaul @realDonaldTrump Our Beloved President Donald The Man Of Peace And Prosperity To Great America And The Whole Worl…	2020-10-16 11:11:18
RT @Chicago1Ray: @RandPaul @realDonaldTrump No more blood for oil as long as @realDonaldTrump is President ✔	2020-10-16 11:10:55
Thank you! https://t.co/ceq1n14MYa	2020-10-16 11:10:41
RT @kealoha20: @RandPaul @realDonaldTrump True Goodness,Righteousness,Selflessness,Love of Country n her People SHINES Forth from Our Presi…	2020-10-16 11:10:07
RT @GrammaYayam164: @RandPaul @realDonaldTrump Wonderful. Thank you, Senator Paul.	2020-10-16 11:08:46
RT @Dave6971: @LG24321 @RandPaul @realDonaldTrump Oh look the warmongers at the NY Times are coming up with a new excuse on why U.S. Troops…	2020-10-16 11:08:43
RT @kevin231: @RandPaul @realDonaldTrump He has my vote, Rand, please move to NY and save us!	2020-10-16 11:06:27
RT @ibezzant: @RandPaul @realDonaldTrump If he's reelected I expect the party and his base to hold him to that promise because that would b…	2020-10-16 11:05:01
RT @village_jordan: @RandPaul @realDonaldTrump 272 Generals sign in supprt of DJT, MSM focus on 4 or 5 who do not support Peace thru Strean…	2020-10-16 11:04:34
RT @romans_8_1: @RandPaul @miamijj48 @realDonaldTrump In general, the press never brings this up. This is something both sides should be ha…	2020-10-16 11:04:15
RT @beinlibertarian: @RandPaul @realDonaldTrump Thank you @RandPaul and @realDonaldTrump for your efforts in ending this decades long mista…	2020-10-16 11:03:36
RT @AmericanEsther: @RandPaul @realDonaldTrump Thank the Lord most High!🙏🏻 God bless the peacemakers @realDonaldTrump🙏🏻 God bless our brave…	2020-10-16 11:01:46
RT @cjtruth: @RandPaul @QarriorP @realDonaldTrump Amen!  Not a lot of people understand what @realDonaldTrump has done!  It is truly amazin…	2020-10-16 11:01:32
RT @RandPaul: In his term, @realDonaldTrump has already brought home thousands of our brave soldiers. He wants the rest home by Christmas a…	2020-10-16 11:01:28
Thank you LIBERTARIANS. We are getting it all done, and FAST! VOTE TRUMP!!! https://t.co/ai2vTb1V3G	2020-10-16 11:00:50
RT @RandPaul: #AmyConeyBarrett will make an excellent justice that will serve our country and Constitution well, and I look forward to seei…	2020-10-16 10:57:56
RT @RandPaul: Democrats seem to think all justices are politicians, and so they want a politician that’ll vote for their cases instead of a…	2020-10-16 10:57:47
The process has long begun. Happening fast! https://t.co/nLLq7x0Bim	2020-10-16 10:57:01
Great! https://t.co/1CoWvrMkN2	2020-10-16 10:53:37
RT @ootroy: @TexasGOP @AllenWest  Southern Dallas County Minority engagement at the Polls educating voters on realities of Democratic Party…	2020-10-16 10:52:11
RT @TexasGOP: Report any irregularities to the Republican Party of Texas Voter Helpline: 855-433-1663 #EarlyVoting #VOTE #Election2020 http…	2020-10-16 10:51:19
RT @TexasGOP: We will bring forward a number of candidates for you to consider as #EarlyVoting begins: https://t.co/MzHiQdfBAm #VoteEarly #…	2020-10-16 10:51:08
Sleepy Joe Biden had a very bad showing last night, despite the fact that @GStephanopoulos didn’t ask him any questions on his being a “corrupt politician”. Big Tech &amp; Lamestream Media are working hard to hide this corruption!!!	2020-10-16 10:44:59
RT @TGowdySC: Thank you to everyone who gave this book a chance. So grateful. This book can really help you win your next conversation. htt…	2020-10-16 10:35:40
RT @DarrellIssa: KUSI, thank you for having the journalistic integrity to meet me at my office so I could dispel the outrageous conspiracy…	2020-10-16 10:34:31
Ammar is a puppet for Nancy Pelosi and the Radical Left. He spells higher taxes, weak Military and Vet support, and the obliteration of your 2nd Amendment. Vote Darrell Issa! https://t.co/0nwCTVWPh3	2020-10-16 10:27:56
Darrell is great. He has my Complete and Total Endorsement. He will Never let you down. WARRIOR!!!! https://t.co/FB0KIHKssM	2020-10-16 10:21:13
Jason wrote a new book. It is fantastic. Order it Now, make Jason #1- He deserves it!!! https://t.co/QCVYploON2	2020-10-16 10:16:38
RT @Jim_Jordan: Twitter censors @JudiciaryGOP. But not the Ayatollah or the Chinese Communist Party?	2020-10-16 10:10:02
RT @DanScavino: President @realDonaldTrump arrives in Greenville, North Carolina!   “It’s great to be back in NC with thousands of loyal, h…	2020-10-16 10:09:45
RT @DanScavino: https://t.co/AKAn3jXs9R	2020-10-16 10:09:26
Thank you! https://t.co/XIEd0dSEvA	2020-10-16 10:08:28
Twitter Shuts Down Entire Network To Slow Spread Of Negative Biden News https://t.co/JPmjOrKPcr via @TheBabylonBee Wow, this has never been done in history. This includes his really bad interview last night. Why is Twitter doing this. Bringing more attention to Sleepy Joe &amp; Big T	2020-10-16 10:07:46
RT @DonaldJTrumpJr: 🚨🚨🚨Hunter Biden Offered $10 Million Annually by Chinese Energy Firm for ‘Introductions Alone,’ Email Shows https://t.co…	2020-10-16 04:37:02
RT @MariannaNBCNews: Dozens of Trump supporters were loudly chanting a mix of “Four more years,” “Trump” and “USA” throughout the event, gr…	2020-10-16 04:36:04
RT @TheCreation: @MZHemingway @davereaboi Biden is like China stealing intellectual property. He steals every one of Trump's strong talking…	2020-10-16 04:23:33
RT @PatriciaAHenso1: @MZHemingway Comment https://t.co/kkNUwylyxF	2020-10-16 04:22:47
RT @Oxfordsonly: @MZHemingway Did you see him at this thing? He looked like a corpse. https://t.co/rq913PolKA	2020-10-16 04:22:45
RT @DCfegan: Can someone honestly say they want @JoeBiden to be their president? #JoeBidenUkraineScandal	2020-10-16 04:03:37
RT @RealJamesWoods: Number one!!!!! I can’t call you my “followers,” because you are so much more than that. You are truly my heroes. #Croo…	2020-10-16 04:03:16
RT @AmericaFirstPAC: 🚨Hunter Biden demanded Chinese billionaire pay $10 million for ‘introductions alone’  #JoeBidenUkraineScandal   https:…	2020-10-16 04:02:51
RT @jasoninthehouse: Totally agree	2020-10-16 04:00:34
RT @jasoninthehouse: Agreed	2020-10-16 03:59:43
RT @tedcruz: This is insane.   #BigTechCensorship	2020-10-16 03:59:30
RT @hughhewitt: This is a blockbuster story from @nypost.  Watch and see if any cable news channels carry it: https://t.co/gd2baCW51h There…	2020-10-16 03:59:15
RT @DrewHolden360: 🧵Thread🧵  The bombshell @nypost story about Joe &amp; Hunter Biden has caused some bluechecks to suddenly worry about pushin…	2020-10-16 03:58:52
RT @jasoninthehouse: Truly stunning.....	2020-10-16 03:58:06
RT @jasoninthehouse: Sickening	2020-10-16 03:47:21
RT @jasoninthehouse: Obama conference call leaked to Burisma: Biden emails https://t.co/ckNMurwMq0	2020-10-16 03:47:09
THANK YOU NORTH CAROLINA! https://t.co/4epZQPjfi7	2020-10-15 20:45:11
Pelosi is holding up STIMULUS, not the Republicans!	2020-10-15 20:41:59
I will be doing a major Fake @NBCNews Town Hall Forum, live tonight from Miami, at 8:00 P.M. They asked me to do it in place of the Rigged Steve Scully (he is now suspended from @cspan for lying) Debate. I wonder if they’ll treat me as well as Sleepy Joe? They should!	2020-10-15 20:31:28
I was right again! Steve Scully just admitted he was lying about his Twitter being hacked. The Debate was Rigged! He was suspended from @cspan indefinitely. The Trump Campaign was not treated fairly by the “Commission”. Did I show good instincts in being the first to know?	2020-10-15 19:54:44
If we don’t win, the Radical Left will destroy our Country. Biden refuses to answer questions on packing the SCOTUS! Dems will pack the Court w/ radical left justices who will shred the #2A, empower violent mobs, and protect terrorists &amp; violent criminals! https://t.co/qUrjRM6MTp	2020-10-15 19:28:20
Joe Biden and the Democrat Socialists will kill your jobs, dismantle your police departments, dissolve your borders, release criminal aliens, raise your taxes, confiscate your guns, end fracking, destroy your suburbs, and drive God from the public square. https://t.co/vrjMVaZhDI	2020-10-15 19:24:36
If Big Tech persists, in coordination with the mainstream media, we must immediately strip them of their Section 230 protections. When government granted these protections, they created a monster! https://t.co/velyvYTOR0	2020-10-15 19:21:32
It was great to be back in North Carolina with thousands of loyal, hardworking American Patriots! This election is a simple choice: If Biden Wins, China Wins. When WE Win, YOU WIN, North Carolina WINS, and America WINS! https://t.co/jWYVYZdT3E	2020-10-15 19:20:21
RT @WashTimes: Hunter Biden demanded Chinese billionaire pay $10 million for ‘introductions alone’  https://t.co/aecKCvvsHo	2020-10-15 19:10:48
THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD	2020-10-15 17:14:36
Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain https://t.co/3AnrRV7uSz	2020-10-15 15:54:20
https://t.co/gsFSghkmdM	2020-10-15 15:52:55
If Biden wins—China will OWN the United States... https://t.co/lFGOlCf82y	2020-10-15 15:38:22
https://t.co/1IfV0MC0zk	2020-10-15 15:37:09
https://t.co/8DgCjsEM7k	2020-10-15 15:36:52
Heading to North Carolina soon. Really Big Crowd. We will have a great time!!!	2020-10-15 15:10:42
Will be interviewed by @Varneyco on @FoxBusiness  at 10:00 A.M.  Enjoy!	2020-10-15 13:32:47
RT @Hansen4Congress: Does this have your attention @JoeBiden? Good luck trying to explain it next week at the debate! #WheresHunter #BidenC…	2020-10-15 12:08:05
RT @Hansen4Congress: Come on, Man! When is @georgesoros going to pay people to attend my rallies? Or is he too busy printing extra ballots…	2020-10-15 12:07:40
RT @RudyGiuliani: Biden can’t stand up to China.  They own him.  His son,brother and sister-in-law are,and have been, partners with busines…	2020-10-15 12:06:18
RT @DaisyCousens: Had to see for myself lol. Twitter is meddling in the 2020 election by covering up corruption and lies from its preferred…	2020-10-15 12:05:33
RT @DTCahill: People under 40 yrs old have no clue, but @RudyGiuliani single handily took down the largest organized crime syndicate in Ame…	2020-10-15 12:04:47
RT @BeanfromPa: @Twitter in the bag for the  #BidenCrimeFamily making up lies   Joe bragged about it! https://t.co/Zb6RDSz2hu	2020-10-15 12:03:28
RT @Styx666Official: https://t.co/g9fedcefdU  The Hunter Biden email bombshell prompted massive damage control by the legacy media and a ra…	2020-10-15 12:03:14
RT @BeanfromPa: Joe also supports BLM #BidenCrimeFamily https://t.co/zsBkO4kTxj	2020-10-15 12:03:00
RT @BeanfromPa: Hey Quid Pro Joe   #BidenCrimeFamily https://t.co/Asmt7KHHND	2020-10-15 12:02:53
RT @scrowder: At what point is @Facebook election meddling?	2020-10-15 11:56:58
RT @scrowder: It is VERY clear watching these hearings that Amy Coney Barrett will be confirmed. The Democrats have got nothin’.	2020-10-15 11:56:40
RT @scrowder: Shortly after the @Facebook Communications director admitted they were shadow banning today's Biden exposé, @Twitter has now…	2020-10-15 11:56:28
RT @benshapiro: That dude will be incredible at folding pizza boxes when voters finally realize their error	2020-10-15 11:56:10
RT @theblaze: If you thought part one was good, you need to see part TWO! 🚨	2020-10-15 11:55:41
RT @Project_Veritas: He wouldn’t happen to mean illegally harvesting/paying cash for absentee ballots would he?  @coloradodems https://t.co…	2020-10-15 11:54:41
RT @JamesOKeefeIII: WATCH: @coloradodems Party Exec Committee member Kris Jacks doubles down on claims of ‘lying, cheating, and stealing’ t…	2020-10-15 11:54:31
RT @Project_Veritas: Hey @realdonaldtrump - can you believe this? We caught @jack from @Twitter removing retweets from our video. https://t…	2020-10-15 11:51:43
RT @Lauren_Southern: If you were serious about stopping this censorship you would hold a hearing for Nathan Simington. @SenatorWicker	2020-10-15 11:50:38
Nobody has ever done as much for Iowa as I have done for Iowa - Not even close!!! https://t.co/wvXnyYs7N9	2020-10-15 10:43:28
"RT @GOP: ""Nobody is going to do for Iowa what I did for Iowa.""—@realDonaldTrump in Iowa https://t.co/2IwtwFUqcg"	2020-10-15 09:18:01
"RT @GOP: ""Vice President Biden, you owe the people of America an apology, because it turns out you are a corrupt politician.""—@realDonaldTr…"	2020-10-15 09:17:40
"RT @GOP: ""I ran for President because I could not sit back any longer &amp; watch the terrible injustices being done to the American people...I…"	2020-10-15 09:17:04
RT @realDonaldTrump: I was thrilled to be back in the American Heartland with thousands of loyal, hardworking IOWA Patriots! 20 days from n…	2020-10-15 09:10:09
So many great people mentioned in this article. Thank you! https://t.co/PPa50w38Ak	2020-10-15 08:59:06
RT @FLOTUS: To all who have reached out - thank you. Here is my personal experience with COVID-19 : https://t.co/XUysq0KVaY	2020-10-15 05:03:05
VOTE TRUMP. SAVE YOUR 2ND. AMENDMENT. https://t.co/oj45494xG5	2020-10-15 04:37:44
Nancy Pelosi couldn’t care less about the American People or the great American Worker. She should approve needed STIMULUS now. Most other Dems agree. Republicans are ready to go, I am ready to sign!!!	2020-10-15 04:34:05
People are fleeing California. Taxes too high, Crime too high, Brownouts too many, Lockdowns too severe. VOTE FOR TRUMP, WHAT THE HELL DO YOU HAVE TO LOSE!!!	2020-10-15 04:27:34
https://t.co/OAu6H3Hggx	2020-10-15 04:27:03
https://t.co/jarbmPNJvp	2020-10-15 04:24:58
Jorge, you’re really tough and really smart. My Great Honor to have your support! @GamebredFighter https://t.co/cehUjvCDUn	2020-10-15 04:21:05
RT @GamebredFighter: https://t.co/GE2NiJUxDc and learn how to protect yourselves from hooligans and other antifa like individuals #supernec…	2020-10-15 04:19:21
I’ve gone through years of a Fake, Illegal, and Totally Discredited Witch-Hunt, and now it’s revealed that it was a Hoax by the “other side”, which must pay a price for what they did. Think of where we’d be now without Fake &amp; Fraudulent stories every night, for years!!!	2020-10-15 03:53:13
https://t.co/thnTEgTJFX	2020-10-15 03:26:54
Congratulations to the @nypost for having exposed the massive corruption surrounding Sleepy Joe Biden and our Country. He’s always been a corrupt politician. Disgraceful!	2020-10-15 03:22:53
https://t.co/Jg5Vgsw9JY	2020-10-15 02:06:44
https://t.co/yJ2qjsPsGV	2020-10-15 02:06:32
Joe Biden must immediately release all emails, meetings, phone calls, transcripts, and records related to his involvement in his family’s business dealings and influence peddling around the world—including in CHINA! https://t.co/H8RSR1tljV	2020-10-15 01:56:34
I was thrilled to be back in the American Heartland with thousands of loyal, hardworking IOWA Patriots! 20 days from now, we are going to win IOWA, and we are going to win 4 more years in the White House! https://t.co/TZtkDZWFUJ	2020-10-15 01:54:45
THANK YOU IOWA! #MAGA https://t.co/cD5CaGu1cr	2020-10-15 01:52:44
https://t.co/d7HGsJhj8Q	2020-10-14 23:06:06
https://t.co/fVcn4CO3SQ	2020-10-14 22:56:26
So terrible that Facebook and Twitter took down the story of “Smoking Gun” emails related to Sleepy Joe Biden and his son, Hunter, in the @NYPost. It is only the beginning for them. There is nothing worse than a corrupt politician. REPEAL SECTION 230!!! https://t.co/g1RJFpIVUZ	2020-10-14 22:09:16
Just left the White House, on my way to the Great State of Iowa! https://t.co/fSphwlO7QI	2020-10-14 20:28:48
RT @HerschelWalker: GEORGIA, Let's go VOTE to keep our Freedoms for the best country in the world! 🇺🇸🇺🇸🇺🇸@potus  #MAGA2020 #Trump2020 #KAG2…	2020-10-14 17:12:35
RT @realDonaldTrump: Republicans will be providing far better Healthcare than the Democrats, at a far lower cost...And will always protect…	2020-10-14 14:55:48
Georgia, this is your chance to MAKE AMERICA GREAT AGAIN. We have been strong for our Military, Vets, 2nd Amendment, and ALL. VOTE NOW!	2020-10-14 14:29:31
Fight hard Republicans. They have been taking advantage of the system for years! https://t.co/vaToeGjrHG	2020-10-14 14:14:04
https://t.co/gsFSghkmdM	2020-10-14 12:52:34
RT @GaryCoby: YES! Watch... @GamebredFighter   #MAGA #SuperBowl   https://t.co/2bgAdkMFJv	2020-10-14 05:31:59
Great night in Pennsylvania. Big and Enthusiastic Crowd. Will be back soon. VOTE!!!	2020-10-14 04:08:24
Vote for Trump. Save your 2nd Amendment! https://t.co/QYt5K7oYws	2020-10-14 03:47:57
Virginia, VOTE for President Trump and save your under siege 2nd Amendment. https://t.co/V0AGM7gLaL	2020-10-14 03:43:25
https://t.co/75J7mUX0Iy	2020-10-14 03:38:27
RT @McguireScotty: This is Lee Keltner. He is the victim of the Denver shooting. He made cowboy hats.  Denver has a DemocRat mayor   Pray f…	2020-10-14 03:32:13
RT @TaylerUSA: Yesterday in Denver a Conservative was executed by Matt Dolloff   @DenverPolice claim he has no connections to ANTIFA, but t…	2020-10-14 03:31:21
RT @stillgray: Extended sequence of events in Denver. The victim backed off. He never stood a chance. https://t.co/4HSSYQ1wrx	2020-10-14 03:31:12
RT @BreitbartNews: Facebook has reportedly disabled the account of former U.S. Marine Corps Sergeant John “Tig” Tiegen, one of the men who…	2020-10-14 03:27:00
